total_len,psh_rate,up_down_num_rate,up_time_min,down_time_min,up_len_sum,up_len_max,up_len_mean,down_len_max,down_len_mean,label
2902,0.5,1,0.206640005,0.207089901,442,161,55.25,577,307.5,1
3258,0.5,1,0.144124985,0.143710136,281,161,40.14285714,577,425.2857143,1
2562,0.5,1,0.391716957,0.391261101,603,161,67,577,217.6666667,1
2578,0.5,1,0.188560009,0.188685894,603,161,67,577,219.4444444,1
4146,0.5,1,0.076802969,0.077167988,824,161,63.38461538,710,255.5384615,1
2388,0.5,1,1.800618887,1.800601959,80,20,20,577,577,1
2478,0.5,1,0.205846071,0.205842018,442,161,55.25,643,254.5,1
2985,0.5,1,0.208520174,0.208497047,100,20,20,577,577,1
4178,0.5,1,0.196264982,0.196349144,482,161,48.2,643,369.6,1
257,0.5,1,0.403250933,0.402889967,181,161,90.5,56,38,1
1857,0.5,1,1.496295929,1.496296883,60,20,20,643,599,1
1791,0.5,1,3.578377962,3.578390121,60,20,20,577,577,1
2752,0.5,1,0.192483902,0.192469835,281,161,40.14285714,577,353,1
2578,0.5,1,0.124475002,0.124086857,603,161,67,577,219.4444444,1
4676,0.5,1,0.188513041,0.18845582,844,161,60.28571429,643,273.7142857,1
2569,0.5,1,0.732825994,0.732820988,241,161,48.2,577,465.6,1
2503,0.5,1,0.189521074,0.189525843,462,161,51.33333333,577,226.7777778,1
3242,0.5,1,0.472434998,0.472069979,281,161,40.14285714,577,423,1
2114,0.5,1,0.436644077,0.436258078,241,161,48.2,643,374.6,1
1451,0.5,1,0.427796125,0.427384853,221,161,55.25,577,307.5,1
4179,0.5,1,0.961772919,0.961755991,140,20,20,577,577,1
4518,0.5,1,0.156575918,0.156211138,321,161,35.66666667,643,466.3333333,1
3258,0.5,1,0.180881023,0.180893898,281,161,40.14285714,577,425.2857143,1
3242,0.5,1,0.408708096,0.408051968,281,161,40.14285714,577,423,1
1808,0.5,1,0.081412077,0.081027985,241,161,48.2,497,313.4,1
1551,0.5,1,1.068634033,1.06861496,60,20,20,497,497,1
1551,0.5,1,1.543426991,1.543403864,60,20,20,497,497,1
1551,0.5,1,5.734556198,5.734525919,60,20,20,497,497,1
2068,0.5,1,0.921627998,0.921628952,80,20,20,497,497,1
1617,0.5,1,0.365404844,0.365405083,60,20,20,563,519,1
2068,0.5,1,1.981461048,1.981502056,80,20,20,497,497,1
2134,0.5,1,3.159601927,3.159603119,80,20,20,563,513.5,1
3015,0.5,1,0.043763876,0.043344975,301,161,37.625,563,339.25,1
1808,0.5,1,0.064889908,0.064471006,241,161,48.2,497,313.4,1
3619,0.5,1,0.986105919,0.986137867,140,20,20,497,497,1
3102,0.5,1,0.830143929,0.830134869,120,20,20,497,497,1
2068,0.5,1,1.968706131,1.968726158,80,20,20,497,497,1
1551,0.5,1,1.230006933,1.229966879,60,20,20,497,497,1
1034,0.5,1,10.69722605,10.69722199,40,20,20,497,497,1
1551,0.5,1,0.716583967,0.716607094,60,20,20,497,497,1
1034,0.5,1,6.136953115,6.136951923,40,20,20,497,497,1
517,0.5,1,0,0,20,20,20,497,497,1
4653,0.5,1,0.204813957,0.204815149,180,20,20,497,497,1
2325,0.5,1,0.046441078,0.046042919,261,161,43.5,497,344,1
683,0.5,1,0.102495909,0.102499008,40,20,20,563,321.5,1
1617,0.5,1,0.341632128,0.341635942,60,20,20,563,519,1
1808,0.5,1,0.058079958,0.057698965,241,161,48.2,497,313.4,1
2585,0.5,1,0.27521801,0.275218964,100,20,20,497,497,1
2585,0.5,1,2.252864838,2.252864838,100,20,20,497,497,1
2325,0.5,1,0.055148125,0.054806948,261,161,43.5,497,344,1
517,0.5,1,0,0,20,20,20,497,497,1
1551,0.5,1,1.358274937,1.358275175,60,20,20,497,497,1
1034,0.5,1,14.38315392,14.38314605,40,20,20,497,497,1
3102,0.5,1,0.600364923,0.600365162,120,20,20,497,497,1
2585,0.5,1,0.619297028,0.619302988,100,20,20,497,497,1
1291,0.5,1,0.043530226,0.04313302,221,161,55.25,497,267.5,1
2585,0.5,1,1.229954004,1.229954004,100,20,20,497,497,1
1034,0.5,1,10.72663379,10.72661996,40,20,20,497,497,1
